"1","Michael","Jordan","78","251","2014","../img/players/2.png","1","3.15","13","Evanston","IL","63151","2802791951","Michael.Jordan@IL.zcruit.com","339 2nd Ave","High","Michael Jordan","Wilt Jordan","Bachelors","0","0","0","5","1","1","6.6","6.6","0","77"
"2","Wilt","Chamberlain","75","293","2014","../img/players/3.png","9","3.1","12","DC","IL","97325","6364837002","Wilt.Chamberlain@IL.zcruit.com","144 4th St","Medium","Wilt Chamberlain","Bill Chamberlain","Bachelors","0","0","0","4","1","1","8.5","8.5","0","77"
"3","Bill","Russells","74","183","2014","../img/players/4.png","9","3.31","20","Boston","MD","45016","9946805504","Bill.Russell@MD.zcruit.com","887 2nd St","Medium","Bill Russell","Elgin Russell","Bachelors","0","0","0","1","1","0","2.3","5.4","5","0"
"4","Shaquille","O'Neal","65","167","2014","../img/players/5.png","3","3.2","17","Boston","TX","40365","4259019024","Shaquille.O'Neal@TX.zcruit.com","388 4th St","Medium","Shaquille O'Neal","Hakeem O'Neal","Bachelors","0","0","1","1","1","0","7.6","7.6","4","0"
"5","Oscar","Rodriguez","73","190","2014","../img/players/6.png","3","3.98","5","NYC","FL","95899","5693268846","Oscar.Robertson@FL.zcruit.com","358 4th St","Low","Oscar Robertson","Larry Robertson","?","0","0","0","0","0","0","2.8","5.0","6","0"
"6","Magic","Johnson","73","196","2014","../img/players/7.png","5","3.13","5","Evanston","PA","64243","1780038939","Magic.Johnson@PA.zcruit.com","851 Sheridan St","Low","Magic Johnson","Magic Johnson","?","0","0","0","0","0","0","6.2","7.8","3","0"
"7","Kareem","Abdul-Jabbar","65","236","2014","../img/players/8.png","3","3.43","19","Seattle","AZ","12378","2505293424","Kareem.Abdul-Jabbar@AZ.zcruit.com","690 2nd Ave","Medium","Kareem Abdul-Jabbar","Julius Abdul-Jabbar","?","1","1","0","0","0","0","9.1","10.0","2","0"
"8","Tim","Duncan","74","201","2014","../img/players/9.png","1","3.26","4","Boston","IN","36747","3938629925","Tim.Duncan@IN.zcruit.com","216 3rd St","High","Tim Duncan","Tim Duncan","Bachelors","0","0","0","1","0","0","3.8","6.6","3","0"
"9","Larry","Bird","77","282","2014","../img/players/10.png","10","3.31","13","San Francisco","DE","34676","6807918133","Larry.Bird@DE.zcruit.com","902 Sheridan St","?","Larry Bird","Elgin Bird","?","0","0","0","0","0","0","3.2","4.8","4","0"
"10","Kobe","Bryant","67","242","2014","../img/players/11.png","7","3.37","3","Seattle","CA","93109","8185125705","Kobe.Bryant@CA.zcruit.com","439 3rd Ave","Medium","Kobe Bryant","Jerry Bryant","?","0","0","0","0","0","0","5.3","8.8","3","0"
"11","Jerry","West","70","235","2014","../img/players/12.png","11","3.02","5","Boston","NC","68878","1723268156","Jerry.West@NC.zcruit.com","192 State St","?","Jerry West","Hakeem West","?","0","0","0","0","0","0","6.3","6.8","6","58"
"12","Elgin","Baylor","70","200","2014","../img/players/13.png","3","3.55","9","Evanston","OH","39881","6445370184","Elgin.Baylor@OH.zcruit.com","908 1st St","Medium","Elgin Baylor","Rick Baylor","?","0","0","0","2","1","0","4.0","5.4","6","3"
"13","Hakeem","Olajuwon","77","241","2014","../img/players/14.png","11","3.96","13","Portland","TX","95826","9863645568","Hakeem.Olajuwon@TX.zcruit.com","171 Sheridan St","Medium","Hakeem Olajuwon","Moses Olajuwon","?","0","0","0","0","0","0","4.2","4.4","1","0"
"14","Bob","Pettit","75","287","2014","../img/players/15.png","4","3.19","17","Tulsa","OH","22671","7772069648","Bob.Pettit@OH.zcruit.com","943 4th St","Medium","Bob Pettit","Karl Pettit","Bachelors","0","0","0","4","2","0","6.1","6.9","1","0"
"15","Moses","Malone","67","285","2014","../img/players/16.png","2","3.93","12","Portland","IL","81520","4870081152","Moses.Malone@IL.zcruit.com","332 1st St","High","Moses Malone","Charles Malone","Bachelors","1","0","0","7","1","1","5.7","9.2","6","78"
"16","Julius","Erving","74","307","2014","../img/players/17.png","11","3.33","7","Tulsa","IL","10420","4041792310","Julius.Erving@IL.zcruit.com","165 4th Ave","Medium","Julius Erving","Charles Erving","Bachelors","0","0","0","0","0","0","4.9","8.5","2","0"
"17","John","Havlicek","75","264","2014","../img/players/18.png","10","2.81","12","DC","IL","84035","1627042371","John.Havlicek@IL.zcruit.com","921 State Ave","Medium","John Havlicek","Kevin Havlicek","Bachelors","0","1","0","3","1","1","4.7","6.3","6","61"
"18","Karl","Malone","72","161","2014","../img/players/19.png","6","3.36","10","Portland","IL","89245","7011610913","Karl.Malone@IL.zcruit.com","761 4th St","Medium","Karl Malone","Karl Malone","Bachelors","0","0","0","5","1","0","5.5","7.7","2","0"
"19","Isiah","Thomas","70","173","2014","../img/players/20.png","4","3.07","6","San Francisco","MI","34917","3858405626","Isiah.Thomas@MI.zcruit.com","110 1st St","Medium","Isiah Thomas","David Thomas","Bachelors","0","0","1","2","1","0","6.2","8.3","3","0"
"20","Charles","Barkley","70","242","2014","../img/players/21.png","7","3.6","15","LA","OH","36981","2964422549","Charles.Barkley@OH.zcruit.com","804 Sheridan St","Medium","Charles Barkley","Scottie Barkley","Bachelors","0","0","1","2","1","0","7.0","7.0","0","77"
