"Coach_id","Coach_name","Coach_superior_id","Coach_type","Coach_specialty"
"1","Pat Fitzgerald","7","HEAD","HEAD"
"2","Morty Schapiro","10","AREA","QB"
"3","Eric Schulz","8","AREA","QB"
"4","Barack Obama","10","AREA","WR"
"5","Henry Bienen","6","POS","WR"
"6","Michael Jordan","3","POS","QB"
"7","George Washington","5","ASS","R"
"8","Donald Trump","3","AREA","R"
"9","Hillary Clinton","9","AREA","WR"
"10","Bernie Sanders","9","AREA","WR"
"11","Chris Collins","1","AREA","QB"
"College_id","College_name","College_logo_url"
"1","Air Force","Air Force.gif"
"2","Akron","Akron.gif"
"3","Alabama","Alabama.gif"
"4","Appalachian State","Appalachian State.gif"
"5","Arizona","Arizona.gif"
"6","Arizona State","Arizona State.gif"
"7","Arkansas","Arkansas.gif"
"8","Arkansas State","Arkansas State.gif"
"9","Army","Army.gif"
"10","Auburn","Auburn.gif"
"11","Ball State","Ball State.gif"
"12","Baylor","Baylor.gif"
"13","Boise State","Boise State.gif"
"14","Boston College","Boston College.gif"
"15","Bowling Green","Bowling Green.gif"
"16","Buffalo","Buffalo.gif"
"17","BYU","BYU.gif"
"18","California","California.gif"
"19","UCLA","UCLA.gif"
"20","UCF","UCF.gif"
"21","Central Michigan","Central Michigan.gif"
"22","Cincinnati","Cincinnati.gif"
"23","Clemson","Clemson.gif"
"24","Colorado","Colorado.gif"
"25","Colorado State","Colorado State.gif"
"26","Connecticut","Connecticut.gif"
"27","Duke","Duke.gif"
"28","Eastern Michigan","Eastern Michigan.gif"
"29","East Carolina","East Carolina.gif"
"30","Florida","Florida.gif"
"31","Florida Atlantic","Florida Atlantic.gif"
"32","FIU","FIU.gif"
"33","Florida State","Florida State.gif"
"34","Fresno State","Fresno State.gif"
"35","Georgia","Georgia.gif"
"36","Georgia Southern","Georgia Southern.gif"
"37","Georgia State","Georgia State.gif"
"38","Georgia Tech","Georgia Tech.gif"
"39","Hawaii","Hawaii.gif"
"40","Houston","Houston.gif"
"41","Idaho","Idaho.gif"
"42","Illinois","Illinois.gif"
"43","Indiana","Indiana.gif"
"44","Iowa","Iowa.gif"
"45","Iowa State","Iowa State.gif"
"46","Kansas","Kansas.gif"
"47","Kansas State","Kansas State.gif"
"48","Kent State","Kent State.gif"
"49","Kentucky","Kentucky.gif"
"50","LSU","LSU.gif"
"51","Louisiana Tech","Louisiana Tech.gif"
"52","Louisiana-Lafayette","Louisiana-Lafayette.gif"
"53","Louisiana-Monroe","Louisiana-Monroe.gif"
"54","Louisville","Louisville.gif"
"55","Marshall","Marshall.gif"
"56","Maryland","Maryland.gif"
"57","Massachusetts","Massachusetts.gif"
"58","Memphis","Memphis.gif"
"59","Miami (FL)","Miami (FL).gif"
"60","Miami (OH)","Miami (OH).gif"
"61","Michigan","Michigan.gif"
"62","Michigan State","Michigan State.gif"
"63","Middle Tennessee","Middle Tennessee.gif"
"64","Minnesota","Minnesota.gif"
"65","Ole Miss","Ole Miss.gif"
"66","Mississippi State","Mississippi State.gif"
"67","Missouri","Missouri.gif"
"68","Navy","Navy.gif"
"69","Nebraska","Nebraska.gif"
"70","Nevada","Nevada.gif"
"71","UNLV","UNLV.gif"
"72","New Mexico","New Mexico.gif"
"73","New Mexico State","New Mexico State.gif"
"74","North Carolina","North Carolina.gif"
"75","NC State","NC State.gif"
"76","North Texas","North Texas.gif"
"77","NIU","NIU.gif"
"78","Notre Dame","Notre Dame.gif"
"79","Ohio","Ohio.gif"
"80","Ohio State","Ohio State.gif"
"81","Oklahoma","Oklahoma.gif"
"82","Oklahoma State","Oklahoma State.gif"
"83","Old Dominion","Old Dominion.gif"
"84","Oregon","Oregon.gif"
"85","Oregon State","Oregon State.gif"
"86","Penn State","Penn State.gif"
"87","Pittsburgh","Pittsburgh.gif"
"88","Purdue","Purdue.gif"
"89","Rice","Rice.gif"
"90","Rutgers","Rutgers.gif"
"91","San Diego State","San Diego State.gif"
"92","San Jose State","San Jose State.gif"
"93","South Alabama","South Alabama.gif"
"94","South Carolina","South Carolina.gif"
"95","South Florida","South Florida.gif"
"96","USC","USC.gif"
"97","SMU","SMU.gif"
"98","Southern Miss","Southern Miss.gif"
"99","Stanford","Stanford.gif"
"100","Syracuse","Syracuse.gif"
"101","Temple","Temple.gif"
"102","Tennessee","Tennessee.gif"
"103","Texas","Texas.gif"
"104","Texas A&M","Texas A&M.gif"
"105","TCU","TCU.gif"
"106","Texas State","Texas State.gif"
"107","Texas Tech","Texas Tech.gif"
"108","UTEP","UTEP.gif"
"109","UTSA","UTSA.gif"
"110","Toledo","Toledo.gif"
"111","Troy","Troy.gif"
"112","Tulane","Tulane.gif"
"113","Tulsa","Tulsa.gif"
"114","Utah","Utah.gif"
"115","Utah State","Utah State.gif"
"116","Vanderbilt","Vanderbilt.gif"
"117","Virginia","Virginia.gif"
"118","Virginia Tech","Virginia Tech.gif"
"119","Wake Forest","Wake Forest.gif"
"120","Washington","Washington.gif"
"121","Washington State","Washington State.gif"
"122","West Virginia","West Virginia.gif"
"123","Western Kentucky","Western Kentucky.gif"
"124","Western Michigan","Western Michigan.gif"
"125","Wisconsin","Wisconsin.gif"
"126","Wyoming","Wyoming.gif"
"127","Brown","Brown.gif"
"128","Columbia","Columbia.gif"
"129","Cornell","Cornell.gif"
"130","Dartmouth","Dartmouth.gif"
"131","Harvard","Harvard.gif"
"132","Penn","Penn.gif"
"133","Princeton","Princeton.gif"
"134","Yale","Yale.gif"
"College_id","Player_id","Status"
"1","19",NULL
"1","30",NULL
"1","42","3"
"1","91","2"
"1","128",NULL
"1","142",NULL
"1","169",NULL
"1","174",NULL
"1","186",NULL
"1","191",NULL
"1","197",NULL
"1","207",NULL
"1","208",NULL
"1","216",NULL
"1","219",NULL
"2","11","10"
"2","56",NULL
"2","71",NULL
"2","88","5"
"2","107",NULL
"2","117",NULL
"2","135",NULL
"2","138",NULL
"2","142",NULL
"2","176",NULL
"2","178",NULL
"2","227",NULL
"3","8",NULL
"3","12",NULL
"3","14","1"
"3","21",NULL
"3","24",NULL
"3","25",NULL
"3","27","3"
"3","29",NULL
"3","36",NULL
"3","52","5"
"3","57",NULL
"3","58",NULL
"3","60",NULL
"3","83",NULL
"3","84",NULL
"3","87",NULL
"3","94",NULL
"3","100",NULL
"3","101",NULL
"3","102",NULL
"3","104",NULL
"3","133",NULL
"3","139",NULL
"3","141",NULL
"3","148",NULL
"3","158",NULL
"3","171",NULL
"3","183",NULL
"3","195",NULL
"3","199",NULL
"3","217",NULL
"3","218",NULL
"3","228",NULL
"4","14","1"
"4","63",NULL
"4","73","6"
"4","154",NULL
"4","186",NULL
"4","187",NULL
"4","222",NULL
"5","4",NULL
"5","7",NULL
"5","46",NULL
"5","52",NULL
"5","54",NULL
"5","58",NULL
"5","61",NULL
"5","68",NULL
"5","73",NULL
"5","82",NULL
"5","92","4"
"5","99",NULL
"5","139",NULL
"5","148",NULL
"5","207",NULL
"5","211",NULL
"5","224",NULL
"5","226",NULL
"6","2",NULL
"6","4",NULL
"6","7",NULL
"6","10",NULL
"6","13",NULL
"6","43",NULL
"6","44",NULL
"6","46","7"
"6","48",NULL
"6","51",NULL
"6","55",NULL
"6","58","6"
"6","61",NULL
"6","68",NULL
"6","73",NULL
"6","77",NULL
"6","78",NULL
